"Date","Open","High","Low","Close","Volume"
"2018-04-10",3.37,3.41,3.35,3.41,81621
"2018-04-09",3.34,3.39,3.31,3.37,65651
"2018-04-04",3.42,3.42,3.35,3.36,71696
"2018-04-03",3.4,3.44,3.38,3.42,101092
"2018-04-02",3.4,3.45,3.4,3.43,103169
"2018-03-30",3.44,3.44,3.4,3.4,108167
"2018-03-29",3.33,3.47,3.32,3.44,160437
"2018-03-28",3.34,3.39,3.3,3.34,93864
"2018-03-27",3.35,3.38,3.32,3.36,117178
"2018-03-26",3.28,3.33,3.21,3.33,99908
"2018-03-23",3.41,3.41,3.22,3.31,150141
"2018-03-22",3.49,3.5,3.45,3.46,84679
"2018-03-21",3.51,3.54,3.48,3.49,98618
"2018-03-20",3.5,3.52,3.47,3.52,59698
"2018-03-19",3.55,3.56,3.51,3.52,71172
"2018-03-16",3.57,3.58,3.54,3.55,71495
"2018-03-15",3.63,3.63,3.54,3.57,89751
"2018-03-14",3.65,3.66,3.6,3.62,90858
"2018-03-13",3.64,3.68,3.63,3.65,105956
"2018-03-12",3.65,3.67,3.63,3.66,105509
"2018-03-09",3.62,3.66,3.6,3.65,97702
"2018-03-08",3.59,3.65,3.59,3.64,84769
"2018-03-07",3.62,3.65,3.6,3.62,88829
"2018-03-06",3.59,3.65,3.55,3.64,111960
"2018-03-05",3.59,3.62,3.56,3.58,69978
"2018-03-02",3.63,3.64,3.58,3.59,79231
"2018-03-01",3.6,3.65,3.57,3.64,114530
"2018-02-28",3.59,3.64,3.55,3.61,143385
"2018-02-27",3.7,3.7,3.58,3.61,124007
"2018-02-26",3.62,3.75,3.6,3.7,143409
"2018-02-23",3.57,3.74,3.56,3.65,126320
"2018-02-22",3.53,3.6,3.51,3.57,85237
"2018-02-14",3.47,3.5,3.43,3.49,73415
"2018-02-13",3.45,3.53,3.45,3.48,98992
"2018-02-12",3.4,3.48,3.36,3.44,100651
"2018-02-09",3.59,3.59,3.3,3.38,284109
"2018-02-08",3.61,3.7,3.61,3.62,104118
"2018-02-07",3.8,3.83,3.6,3.61,158193
"2018-02-06",3.84,3.86,3.73,3.74,141264
"2018-02-05",3.8,3.93,3.78,3.9,123143
"2018-02-02",3.71,3.9,3.68,3.86,168518
"2018-02-01",4.07,4.1,3.8,3.8,314215
"2018-01-31",4.02,4.13,3.96,4.09,361398
"2018-01-30",4.03,4.13,4.01,4.04,225006
"2018-01-29",4.06,4.11,4.01,4.03,205876
"2018-01-26",4.07,4.13,4.02,4.08,197438
"2018-01-25",4.17,4.17,4.06,4.06,288166
"2018-01-24",4.08,4.22,4.04,4.17,335394
"2018-01-23",4.05,4.13,4.04,4.1,225670
"2018-01-22",4.06,4.08,4.01,4.04,176288
"2018-01-19",4.08,4.16,4.05,4.06,241233
"2018-01-18",4.1,4.14,4.04,4.07,190480
"2018-01-17",4.21,4.25,4.04,4.07,423132
"2018-01-16",4.12,4.36,4.04,4.28,569728
"2018-01-15",4.34,4.39,4.05,4.14,709196
"2018-01-12",4.13,4.61,4.1,4.4,1133309
"2018-01-11",4.12,4.36,4,4.19,416246
"2018-01-10",4.18,4.22,4.04,4.09,236523
"2018-01-09",4.01,4.36,4.01,4.17,409074
"2018-01-08",4.02,4.17,3.97,4.08,353812
"2018-01-05",3.82,4.16,3.81,4.01,441806
"2018-01-04",3.81,3.85,3.8,3.83,116240
"2018-01-03",3.73,3.85,3.73,3.83,183908
"2018-01-02",3.67,3.83,3.67,3.77,226639
"2017-12-29",3.59,3.67,3.57,3.66,108177
"2017-12-28",3.58,3.61,3.56,3.59,66768
"2017-12-27",3.56,3.61,3.55,3.57,81913
"2017-12-26",3.54,3.59,3.54,3.57,95442
"2017-12-25",3.55,3.63,3.55,3.55,69674
"2017-12-22",3.56,3.59,3.54,3.57,66067
"2017-12-21",3.5,3.58,3.47,3.56,99446
"2017-12-20",3.63,3.64,3.49,3.51,130650
"2017-12-19",3.63,3.64,3.58,3.62,97332
"2017-12-18",3.63,3.64,3.59,3.63,69162
"2017-12-15",3.66,3.67,3.61,3.62,78590
"2017-12-14",3.67,3.69,3.65,3.67,63763
"2017-12-13",3.7,3.71,3.65,3.69,83740
"2017-12-12",3.72,3.77,3.69,3.72,112377
"2017-12-11",3.7,3.74,3.68,3.73,122814
"2017-12-08",3.69,3.74,3.68,3.72,93782
"2017-12-07",3.7,3.75,3.66,3.71,88579
"2017-12-06",3.83,3.83,3.64,3.72,170038
"2017-12-05",3.82,3.85,3.79,3.83,82564
"2017-12-04",3.88,3.89,3.81,3.82,88246
"2017-12-01",3.86,3.92,3.86,3.88,102388
"2017-11-30",3.89,3.93,3.88,3.89,89777
"2017-11-29",3.84,3.99,3.8,3.92,127678
"2017-11-28",3.78,3.84,3.77,3.83,82522
"2017-11-27",3.84,3.85,3.78,3.79,70470
"2017-11-24",3.83,3.86,3.82,3.84,56344
"2017-11-23",3.92,3.93,3.83,3.84,94065
"2017-11-22",3.93,3.96,3.91,3.93,106170
"2017-11-21",3.95,3.98,3.91,3.96,83966
"2017-11-20",3.94,3.94,3.8,3.92,118595
"2017-11-17",4.04,4.06,3.92,3.95,145460
"2017-11-16",4.07,4.12,4.04,4.08,84675
"2017-11-15",4.09,4.11,4.06,4.09,63924
"2017-11-14",4.14,4.15,4.07,4.1,94031
"2017-11-13",4.13,4.17,4.12,4.14,101296
"2017-11-10",4.18,4.18,4.13,4.14,70218
"2017-11-09",4.14,4.18,4.13,4.17,71211
"2017-11-08",4.13,4.17,4.12,4.15,92953
"2017-11-07",4.13,4.15,4.1,4.15,81905
"2017-11-06",4.1,4.15,4.07,4.13,92259
"2017-11-03",4.14,4.16,4.09,4.11,90492
"2017-11-02",4.17,4.18,4.12,4.16,87725
"2017-11-01",4.17,4.21,4.14,4.17,134723
"2017-10-31",4.07,4.17,4.06,4.15,113655
"2017-10-30",4.14,4.14,4.05,4.07,139529
"2017-10-27",4.16,4.21,4.14,4.15,106873
"2017-10-26",4.13,4.18,4.12,4.15,128481
"2017-10-25",4.13,4.16,4.11,4.13,77688
"2017-10-24",4.1,4.18,4.1,4.13,141581
"2017-10-23",4.12,4.13,4.09,4.11,143000
"2017-10-20",4.1,4.13,4.09,4.13,79341
"2017-10-19",4.17,4.2,4.09,4.1,124808
"2017-10-18",4.19,4.25,4.18,4.19,114879
"2017-10-17",4.18,4.25,4.16,4.23,96185
"2017-10-16",4.24,4.24,4.18,4.19,140863
"2017-10-13",4.23,4.25,4.22,4.23,115463
"2017-10-12",4.28,4.28,4.22,4.25,147886
"2017-10-11",4.29,4.29,4.25,4.27,148655
"2017-10-10",4.27,4.3,4.24,4.29,144834
"2017-10-09",4.31,4.36,4.26,4.27,181926
"2017-09-29",4.3,4.3,4.24,4.25,205118
"2017-09-28",4.4,4.4,4.26,4.28,447364
"2017-09-27",4.29,4.6,4.26,4.48,538829
"2017-09-26",4.26,4.3,4.23,4.3,207250
"2017-09-25",4.52,4.55,4.2,4.27,582360
"2017-09-22",4.59,4.71,4.56,4.6,314486
"2017-09-21",4.73,4.77,4.6,4.61,481563
"2017-09-20",4.7,4.82,4.67,4.77,753524
"2017-09-19",4.38,4.83,4.37,4.83,1442389
"2017-09-18",4.39,4.41,4.35,4.39,198547
"2017-09-15",4.33,4.42,4.3,4.4,531053
"2017-09-14",4.27,4.34,4.25,4.32,200309
"2017-09-13",4.27,4.27,4.23,4.27,72537
"2017-09-12",4.28,4.29,4.24,4.25,119336
"2017-09-11",4.26,4.29,4.26,4.28,95576
"2017-09-08",4.29,4.31,4.26,4.28,122848
"2017-09-07",4.27,4.35,4.25,4.32,272508
"2017-09-06",4.25,4.27,4.23,4.26,87727
"2017-09-05",4.27,4.28,4.24,4.26,127016
"2017-09-04",4.25,4.3,4.23,4.26,205442
"2017-09-01",4.3,4.32,4.27,4.28,194864
"2017-08-31",4.4,4.4,4.28,4.33,355940
"2017-08-30",4.34,4.45,4.26,4.4,451708
"2017-08-29",4.32,4.4,4.29,4.34,188477
"2017-08-28",4.33,4.35,4.28,4.33,158303
"2017-08-25",4.28,4.38,4.26,4.35,314423
"2017-08-24",4.25,4.3,4.22,4.28,218142
"2017-08-23",4.3,4.3,4.22,4.24,83182
"2017-08-22",4.25,4.33,4.23,4.3,184156
"2017-08-21",4.18,4.33,4.17,4.28,345648
"2017-08-18",4.09,4.29,4.08,4.2,309764
"2017-08-17",4.09,4.12,4.06,4.11,84754
"2017-08-16",4.09,4.11,4.05,4.09,64062
"2017-08-15",4.07,4.13,4.07,4.1,70236
"2017-08-14",4,4.06,4,4.06,47341
"2017-08-11",4.07,4.09,4,4.01,96672
"2017-08-10",4.11,4.13,4.07,4.08,81248
"2017-08-09",4.12,4.13,4.1,4.11,61278
"2017-08-08",4.09,4.13,4.09,4.12,75719
"2017-08-07",4.1,4.12,4.06,4.11,109536
"2017-08-04",4.19,4.35,4.11,4.13,185455
