"Date","Open","High","Low","Close","Volume"
"2018-04-10",46.75,49.47,46.75,49.19,58629
"2018-04-09",45.57,47.28,45.3,46.7,41552
"2018-04-04",46.3,47.58,45.3,45.68,50163
"2018-04-03",46.26,47.78,45,46.02,48416
"2018-04-02",46.15,47.83,45.98,46.43,40172
"2018-03-30",43.45,46.28,43.45,45.98,55178
"2018-03-29",44.14,44.5,42.87,43.27,35962
"2018-03-28",44.83,46.15,43.66,43.9,44503
"2018-03-27",44.77,45.85,44.45,45.14,46968
"2018-03-26",42.85,45.08,41.58,44.46,46171
"2018-03-23",42.51,44.41,42.3,42.85,41376
"2018-03-22",43.3,44.65,43.3,43.85,36060
"2018-03-21",45.02,45.45,43.5,43.58,42438
"2018-03-20",44.65,45.89,44.5,45.06,50640
"2018-03-19",44.13,45.19,43.5,45.06,38720
"2018-03-16",44.6,44.84,43.86,44.2,25942
"2018-03-15",44.89,45.19,44.06,44.59,27451
"2018-03-14",44.27,45.43,44.27,44.89,34026
"2018-03-13",45.37,45.66,44.15,44.43,34599
"2018-03-12",45.78,46.09,45.2,45.37,31384
"2018-03-09",46.04,46.04,44.97,45.9,28894
"2018-03-08",44.63,46.3,44.63,45.62,47645
"2018-03-07",44.95,45.6,44.23,44.53,25728
"2018-03-06",44.87,45.33,44.16,44.95,44304
"2018-03-05",42.26,45.07,42.19,44.56,48983
"2018-03-02",42.68,43.09,41.8,41.96,24755
"2018-03-01",42.99,42.99,42.02,42.85,28471
"2018-02-28",42.85,43.84,41.44,42.92,46590
"2018-02-27",43.09,43.5,42.17,43.35,40380
"2018-02-26",42.99,43.43,42.45,42.88,30094
"2018-02-23",43,43.98,42.31,42.6,26751
"2018-02-22",42.08,43.3,41.78,43.12,37584
"2018-02-14",41.15,41.97,41,41.7,28417
"2018-02-13",39.96,42.05,39.66,40.84,63918
"2018-02-12",37,40.02,37,39.66,70410
"2018-02-09",38,38.48,36.71,36.99,56260
"2018-02-08",38.6,39.55,38.2,38.92,27965
"2018-02-07",39.01,39.56,37.91,38.63,33464
"2018-02-06",38.98,39.4,37.8,38.59,51383
"2018-02-05",38.95,39.9,38.6,39.88,35292
"2018-02-02",38.18,39.88,38.1,38.95,52921
"2018-02-01",41.45,41.71,37.31,39.22,105584
"2018-01-31",41.71,42.17,41.27,41.45,31400
"2018-01-30",41.7,42.15,41.11,41.89,21356
"2018-01-29",42.01,42.56,41.3,41.71,33161
"2018-01-26",42.37,42.4,41.7,42.17,30481
"2018-01-25",42.88,42.88,41.9,42.42,44157
"2018-01-24",42,43.58,41.98,42.88,57075
"2018-01-23",41.98,42.33,41.29,41.93,31434
"2018-01-22",41.15,42.04,40.92,41.84,26956
"2018-01-19",41.64,41.92,40.78,41.22,29836
"2018-01-18",40.69,42.17,40.68,41.81,44515
"2018-01-17",39.85,41.47,39,40.7,58557
"2018-01-16",40.41,41.49,39.5,39.83,62068
"2018-01-15",41,41.58,40.44,40.76,53399
"2018-01-12",42,42.21,41.13,41.63,38014
"2018-01-11",40.8,42.46,40.8,41.64,65302
"2018-01-10",40.34,40.9,40.08,40.33,24349
"2018-01-09",40.31,41,40.02,40.58,33977
"2018-01-08",39.85,40.81,39.23,40.64,41735
"2018-01-05",40.05,40.54,39.77,39.97,23284
"2018-01-04",39.86,40.54,39.5,39.95,48607
"2018-01-03",38.57,40.41,38.5,39.94,79701
"2018-01-02",38.2,38.48,38.09,38.3,38564
"2017-12-29",38.1,38.29,37.12,38.15,53183
"2017-12-28",38.36,38.69,37.95,38.15,37488
"2017-12-27",38.88,38.88,37.75,38.38,27717
"2017-12-26",39.16,39.18,38.61,38.87,20548
"2017-12-25",38.4,39.12,38.3,39.08,30152
"2017-12-22",38.46,38.96,38.1,38.41,28345
"2017-12-21",38.13,38.87,38.13,38.67,22204
"2017-12-20",37.91,38.79,37.82,38.25,26595
"2017-12-19",38.12,38.66,37.81,37.97,23297
"2017-12-18",38.42,38.75,37.6,38.12,36912
"2017-12-15",37.58,38.59,37.35,38.31,40958
"2017-12-14",36.88,37.82,36.74,37.73,39378
"2017-12-13",37.25,37.53,36.56,36.87,37555
"2017-12-12",37.74,37.9,37.36,37.38,37591
"2017-12-11",36.51,37.98,36.27,37.61,96232
"2017-12-08",37.3,38.24,37.21,37.93,41231
"2017-12-07",36.88,37.12,36.65,36.94,25271
"2017-12-06",36.35,36.96,36.17,36.81,31018
"2017-12-05",37.06,37.4,36.1,36.26,23470
"2017-12-04",37.1,37.37,36.81,36.95,26212
"2017-12-01",36.95,37.76,36.76,37.14,32770
"2017-11-30",36.19,37.37,36.07,36.73,38256
"2017-11-29",37.1,37.23,35.77,36.15,56662
"2017-11-28",36.02,37.23,36.01,37.03,34692
"2017-11-27",37.41,37.54,36.18,36.38,39531
"2017-11-24",37.7,37.9,37.01,37.41,31147
"2017-11-23",38.83,38.95,37.41,37.63,38928
"2017-11-22",39.73,40.01,38.87,38.88,45739
"2017-11-21",40.6,40.65,39.33,39.6,42451
"2017-11-20",39.94,40.6,39.37,40.52,35813
"2017-11-17",40.55,40.7,39.66,39.69,28836
"2017-11-16",40.18,40.76,39.51,40.35,28244
"2017-11-15",40.36,40.83,40.05,40.17,31981
"2017-11-14",42,42.17,40.15,40.56,56539
"2017-11-13",42.02,44,41.28,42.44,95406
"2017-11-10",40.9,42.42,40.72,42.04,53708
"2017-11-09",41.14,41.25,40.34,40.89,40724
"2017-11-08",40.95,41.53,40.53,40.77,39610
"2017-11-07",41.06,41.37,40.4,40.98,59343
"2017-11-06",39.55,41.39,39.39,41.36,60544
"2017-11-03",40,40.26,39.05,39.38,33283
"2017-11-02",40.03,40.4,39.66,39.98,32204
"2017-11-01",40.8,41.53,40.01,40.14,36664
"2017-10-31",40.45,40.9,40.15,40.8,23931
"2017-10-30",40.65,40.97,39.7,40.53,41969
"2017-10-27",40.64,41.15,40.4,40.7,23876
"2017-10-26",41.5,42.53,40.32,40.76,59440
"2017-10-25",40.75,41.39,40.55,41.25,37757
"2017-10-24",41.98,41.98,40.51,41.19,32422
"2017-10-23",41.38,42.15,41.36,41.84,32210
"2017-10-20",41.06,41.46,40.41,40.81,23241
"2017-10-19",40.9,42.3,40.38,40.81,36611
"2017-10-18",39.95,41.4,39.68,40.97,41910
"2017-10-17",39.27,40.32,38.71,40.19,52715
"2017-10-16",38.79,39.17,38.22,38.62,29793
"2017-10-13",39.7,39.87,38.6,38.77,32610
"2017-10-12",39.44,40.16,39.02,39.69,28337
"2017-10-11",39.34,40.4,38.91,39.09,41554
"2017-10-10",38.66,39.34,38.48,39.2,51822
"2017-10-09",36.91,38.77,36.91,38.64,47694
"2017-09-29",37.26,37.35,36.81,36.86,11263
"2017-09-28",37.35,37.35,36.91,37.05,12915
"2017-09-27",36.73,37.3,36.66,37.11,24882
"2017-09-26",36.45,37.1,36.23,36.69,31301
